Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2022,HHS6,HHS Region 6,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4.1,4.1,,,3.8,4.5,1854,1352660,Overall,Overall,,,DISEST,STATTYPE,85,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,IN,Indiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.3,3.3,,,2.9,3.8,397,168547,Overall,Overall,,,DISEST,STATTYPE,18,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,15.5,15.5,,,14.4,16.8,857,216658,Overall,Overall,,,DISEST,STATTYPE,16,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,OK,Oklahoma,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,37.8,37.8,,,36.2,39.4,2319,1132790,Overall,Overall,,,DISEST,STATTYPE,40,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,US,"United States, DC & Territories",BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.6,3.6,,,3.4,3.7,16813,9526478,Overall,Overall,,,DISEST,STATTYPE,59,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,DC,District of Columbia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.8,5.8,,,4.8,7.0,176,28222,Overall,Overall,,,DISEST,STATTYPE,11,Q6IND,AGEADJPREV,CAT1,BO1,,
2022,OK,Oklahoma,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4.2,4.2,,,3.7,4.8,309,135647,Overall,Overall,,,DISEST,STATTYPE,40,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,HHS1,HHS Region 1,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.7,4.7,,,4.4,5.1,2471,581072,Overall,Overall,,,DISEST,STATTYPE,80,Q6VIS,AGEADJPREV,CAT1,BO1,,
2022,NV,Nevada,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,67.5,67.5,,,65.0,70.0,1908,1540454,Overall,Overall,,,DISEST,STATTYPE,32,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2022,MI,Michigan,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,11.8,11.8,,,11.0,12.6,1482,995413,Overall,Overall,,,DISEST,STATTYPE,26,Q6MOB,AGEADJPREV,CAT1,BO1,,
2022,HHS9,HHS Region 9,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,13.0,13.0,,,12.3,13.8,3898,4734386,Overall,Overall,,,DISEST,STATTYPE,88,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,SC,South Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,8.0,8.0,,,7.1,8.9,738,307907,Overall,Overall,,,DISEST,STATTYPE,45,Q6IND,AGEADJPREV,CAT1,BO1,,
2022,CO,Colorado,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,9.0,9.0,,,8.3,9.8,931,422786,Overall,Overall,,,DISEST,STATTYPE,08,Q6MOB,AGEADJPREV,CAT1,BO1,,
2022,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.8,6.8,,,6.5,7.2,3429,849515,Overall,Overall,,,DISEST,STATTYPE,86,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2022,PR,Puerto Rico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,41.5,41.5,,,39.7,43.4,2531,1298466,Overall,Overall,,,DISEST,STATTYPE,72,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,MN,Minnesota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,12.2,12.2,,,11.4,13.0,1641,492782,Overall,Overall,,,DISEST,STATTYPE,27,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,HHS3,HHS Region 3,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,27.6,27.6,,,26.6,28.6,12642,6816630,Overall,Overall,,,DISEST,STATTYPE,82,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,OK,Oklahoma,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,7.6,7.6,,,6.8,8.5,460,233390,Overall,Overall,,,DISEST,STATTYPE,40,Q6VIS,AGEADJPREV,CAT1,BO1,,
2022,NC,North Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,6.5,6.5,,,5.4,7.8,255,569277,Overall,Overall,,,DISEST,STATTYPE,37,Q6VIS,AGEADJPREV,CAT1,BO1,,
2022,TN,Tennessee,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,66.6,66.6,,,64.7,68.4,3067,3327037,Overall,Overall,,,DISEST,STATTYPE,47,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2022,HHS2,HHS Region 2,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.6,12.6,,,12.1,13.1,4940,3453217,Overall,Overall,,,DISEST,STATTYPE,81,Q6MOB,AGEADJPREV,CAT1,BO1,,
2022,CA,California,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.1,5.1,,,4.5,5.8,527,1512269,Overall,Overall,,,DISEST,STATTYPE,06,Q6VIS,AGEADJPREV,CAT1,BO1,,
2022,ND,North Dakota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,11.2,11.2,,,9.9,12.6,380,63817,Overall,Overall,,,DISEST,STATTYPE,38,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,OR,Oregon,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,10.2,10.2,,,9.4,11.1,752,395380,Overall,Overall,,,DISEST,STATTYPE,41,Q6MOB,AGEADJPREV,CAT1,BO1,,
2022,AZ,Arizona,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,15.7,15.7,,,14.4,17.2,1275,808050,Overall,Overall,,,DISEST,STATTYPE,04,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,MA,Massachusetts,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.0,3.0,,,2.5,3.5,333,173993,Overall,Overall,,,DISEST,STATTYPE,25,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,HHS10,HHS Region 10,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,72.2,72.2,,,71.5,72.8,29166,7839647,Overall,Overall,,,DISEST,STATTYPE,89,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2022,TN,Tennessee,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.7,6.7,,,5.9,7.6,486,398910,Overall,Overall,,,DISEST,STATTYPE,47,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2022,WI,Wisconsin,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.3,6.3,,,5.7,7.0,965,321370,Overall,Overall,,,DISEST,STATTYPE,55,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2022,CA,California,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.3,3.3,,,2.8,3.8,384,972979,Overall,Overall,,,DISEST,STATTYPE,06,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,IN,Indiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,70.7,70.7,,,69.4,71.9,6379,3234082,Overall,Overall,,,DISEST,STATTYPE,18,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2022,CA,California,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,26.6,26.6,,,25.4,27.9,2849,7664913,Overall,Overall,,,DISEST,STATTYPE,06,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,CO,Colorado,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.9,4.9,,,4.3,5.5,526,229214,Overall,Overall,,,DISEST,STATTYPE,08,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2022,HHS3,HHS Region 3,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,13.5,13.5,,,12.7,14.3,4725,3093308,Overall,Overall,,,DISEST,STATTYPE,82,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,NE,Nebraska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.1,6.1,,,5.5,6.8,747,100737,Overall,Overall,,,DISEST,STATTYPE,31,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2022,DE,Delaware,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,25.1,25.1,,,23.2,27.2,1101,205381,Overall,Overall,,,DISEST,STATTYPE,10,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,FL,Florida,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.7,3.7,,,3.1,4.3,592,670065,Overall,Overall,,,DISEST,STATTYPE,12,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,NM,New Mexico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.7,3.7,,,3.1,4.4,241,66932,Overall,Overall,,,DISEST,STATTYPE,35,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,UT,Utah,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,14.1,14.1,,,13.2,15.2,1122,328875,Overall,Overall,,,DISEST,STATTYPE,49,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,VA,Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.1,3.1,,,2.7,3.6,402,223629,Overall,Overall,,,DISEST,STATTYPE,51,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,NH,New Hampshire,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,15.0,15.0,,,13.4,16.7,635,142852,Overall,Overall,,,DISEST,STATTYPE,33,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,GA,Georgia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.0,6.0,,,5.3,6.7,813,508659,Overall,Overall,,,DISEST,STATTYPE,13,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2022,KS,Kansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,14.0,14.0,,,13.0,15.1,1222,286932,Overall,Overall,,,DISEST,STATTYPE,20,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,DC,District of Columbia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.9,4.9,,,3.9,6.2,131,23930,Overall,Overall,,,DISEST,STATTYPE,11,Q6VIS,AGEADJPREV,CAT1,BO1,,
2022,NJ,New Jersey,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,23.1,23.1,,,21.7,24.6,1740,1592077,Overall,Overall,,,DISEST,STATTYPE,34,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,GA,Georgia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.8,12.8,,,11.9,13.8,1579,1074444,Overall,Overall,,,DISEST,STATTYPE,13,Q6MOB,AGEADJPREV,CAT1,BO1,,
2022,WA,Washington,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,10.2,10.2,,,9.7,10.6,3493,655899,Overall,Overall,,,DISEST,STATTYPE,53,Q6MOB,AGEADJPREV,CAT1,BO1,,
2022,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,13.5,13.5,,,12.3,14.9,630,70942,Overall,Overall,,,DISEST,STATTYPE,02,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.2,7.2,,,6.4,8.0,471,104740,Overall,Overall,,,DISEST,STATTYPE,16,Q6IND,AGEADJPREV,CAT1,BO1,,
2022,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.8,4.8,,,4.0,5.7,274,25866,Overall,Overall,,,DISEST,STATTYPE,02,Q6VIS,AGEADJPREV,CAT1,BO1,,
2022,UT,Utah,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.5,6.5,,,5.8,7.2,602,149967,Overall,Overall,,,DISEST,STATTYPE,49,Q6IND,AGEADJPREV,CAT1,BO1,,
2022,NY,New York,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.4,3.4,,,3.0,3.9,580,539767,Overall,Overall,,,DISEST,STATTYPE,36,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,SC,South Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.7,5.7,,,5.0,6.5,559,231871,Overall,Overall,,,DISEST,STATTYPE,45,Q6VIS,AGEADJPREV,CAT1,BO1,,
2022,NH,New Hampshire,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.6,3.6,,,2.9,4.5,310,41966,Overall,Overall,,,DISEST,STATTYPE,33,Q6VIS,AGEADJPREV,CAT1,BO1,,
2022,TN,Tennessee,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,15.6,15.6,,,14.4,16.8,1037,908529,Overall,Overall,,,DISEST,STATTYPE,47,Q6MOB,AGEADJPREV,CAT1,BO1,,
2022,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,36.0,36.0,,,34.3,37.9,2070,1256209,Overall,Overall,,,DISEST,STATTYPE,22,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,WV,West Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,63.4,63.4,,,61.6,65.2,2804,826511,Overall,Overall,,,DISEST,STATTYPE,54,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2022,ME,Maine,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,16.0,16.0,,,14.7,17.3,1258,160437,Overall,Overall,,,DISEST,STATTYPE,23,Q6COG,AGEADJPREV,CAT1,BO1,,
2022,MT,Montana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,71.3,71.3,,,69.8,72.8,4527,589087,Overall,Overall,,,DISEST,STATTYPE,30,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2022,HHS5,HHS Region 5,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,27.6,27.6,,,27.0,28.2,19871,11121009,Overall,Overall,,,DISEST,STATTYPE,84,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,AL,Alabama,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,66.5,66.5,,,64.3,68.7,2684,2471544,Overall,Overall,,,DISEST,STATTYPE,01,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2022,KY,Kentucky,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4.9,4.9,,,4.0,5.8,242,183387,Overall,Overall,,,DISEST,STATTYPE,21,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,HHS10,HHS Region 10,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.2,6.2,,,5.9,6.5,3878,794017,Overall,Overall,,,DISEST,STATTYPE,89,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2022,NJ,New Jersey,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.8,4.8,,,4.3,5.5,452,368614,Overall,Overall,,,DISEST,STATTYPE,34,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2022,AL,Alabama,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4.8,4.8,,,3.9,5.8,248,201224,Overall,Overall,,,DISEST,STATTYPE,01,Q6SEL,AGEADJPREV,CAT1,BO1,,
2022,VA,Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,28.7,28.7,,,27.4,30.1,3171,1901551,Overall,Overall,,,DISEST,STATTYPE,51,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2022,KS,Kansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,71.2,71.2,,,69.9,72.4,7221,1489034,Overall,Overall,,,DISEST,STATTYPE,20,Q6DIS2,AGEADJPREV,CAT1,BO1,,
